Input Board,decision,Output Board,Input Graph,Output Graph
 X XXO  O,3, XOXXO  O,"[[0, 1, 0], [1, 1, 2], [0, 0, 2]]","[[0, 1, 2], [1, 1, 2], [0, 0, 2]]"
 XXOXOO X,1,OXXOXOO X,"[[0, 1, 1], [2, 1, 2], [2, 0, 1]]","[[2, 1, 1], [2, 1, 2], [2, 0, 1]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
 XX OXOO ,1,XXX OXOO ,"[[0, 1, 1], [0, 2, 1], [2, 2, 0]]","[[1, 1, 1], [0, 2, 1], [2, 2, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
XO   XOOX,3,XOX  XOOX,"[[1, 2, 0], [0, 0, 1], [2, 2, 1]]","[[1, 2, 1], [0, 0, 1], [2, 2, 1]]"
O  OXXXO ,3,O XOXXXO ,"[[2, 0, 0], [2, 1, 1], [1, 2, 0]]","[[2, 0, 1], [2, 1, 1], [1, 2, 0]]"
O XO X   ,9,O XO X  X,"[[2, 0, 1], [2, 0, 1], [0, 0, 0]]","[[2, 0, 1], [2, 0, 1], [0, 0, 1]]"
OXX  X O ,9,OXX  X OO,"[[2, 1, 1], [0, 0, 1], [0, 2, 0]]","[[2, 1, 1], [0, 0, 1], [0, 2, 2]]"
O O XOX X,8,O O XOXXX,"[[2, 0, 2], [0, 1, 2], [1, 0, 1]]","[[2, 0, 2], [0, 1, 2], [1, 1, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
XOX XOOXO,4,XOXXXOOXO,"[[1, 2, 1], [0, 1, 2], [2, 1, 2]]","[[1, 2, 1], [1, 1, 2], [2, 1, 2]]"
XX O  O  ,3,XXXO  O  ,"[[1, 1, 0], [2, 0, 0], [2, 0, 0]]","[[1, 1, 1], [2, 0, 0], [2, 0, 0]]"
X  XO   O,7,X  XO X O,"[[1, 0, 0], [1, 2, 0], [0, 0, 2]]","[[1, 0, 0], [1, 2, 0], [1, 0, 2]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 X     OX,7, X    OOX,"[[0, 1, 0], [0, 0, 0], [0, 2, 1]]","[[0, 1, 0], [0, 0, 0], [2, 2, 1]]"
O     X  ,5,O   X X  ,"[[2, 0, 0], [0, 0, 0], [1, 0, 0]]","[[2, 0, 0], [0, 1, 0], [1, 0, 0]]"
X XO     ,2,XOXO     ,"[[1, 0, 1], [2, 0, 0], [0, 0, 0]]","[[1, 2, 1], [2, 0, 0], [0, 0, 0]]"
   O XXXO,1,O  O XXXO,"[[0, 0, 0], [2, 0, 1], [1, 1, 2]]","[[2, 0, 0], [2, 0, 1], [1, 1, 2]]"
OX    O X,4,OX X  O X,"[[2, 1, 0], [0, 0, 0], [2, 0, 1]]","[[2, 1, 0], [1, 0, 0], [2, 0, 1]]"
 O X X O ,5, O XXX O ,"[[0, 2, 0], [1, 0, 1], [0, 2, 0]]","[[0, 2, 0], [1, 1, 1], [0, 2, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 X O  OXX,1,OX O  OXX,"[[0, 1, 0], [2, 0, 0], [2, 1, 1]]","[[2, 1, 0], [2, 0, 0], [2, 1, 1]]"
XXOX    O,6,XXOX O  O,"[[1, 1, 2], [1, 0, 0], [0, 0, 2]]","[[1, 1, 2], [1, 0, 2], [0, 0, 2]]"
    X OXO,2, X  X OXO,"[[0, 0, 0], [0, 1, 0], [2, 1, 2]]","[[0, 1, 0], [0, 1, 0], [2, 1, 2]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
  XO OXXO,5,  XOXOXXO,"[[0, 0, 1], [2, 0, 2], [1, 1, 2]]","[[0, 0, 1], [2, 1, 2], [1, 1, 2]]"
 X     OX,3, XO    OX,"[[0, 1, 0], [0, 0, 0], [0, 2, 1]]","[[0, 1, 2], [0, 0, 0], [0, 2, 1]]"
 OX   X O,5, OX X X O,"[[0, 2, 1], [0, 0, 0], [1, 0, 2]]","[[0, 2, 1], [0, 1, 0], [1, 0, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 X  X   O,8, X  X  OO,"[[0, 1, 0], [0, 1, 0], [0, 0, 2]]","[[0, 1, 0], [0, 1, 0], [0, 2, 2]]"
 O    OXX,9, O    OXX,"[[0, 2, 0], [0, 0, 0], [2, 1, 1]]","[[0, 2, 0], [0, 0, 0], [2, 1, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
XO O XOXX,3,XOOO XOXX,"[[1, 2, 0], [2, 0, 1], [2, 1, 1]]","[[1, 2, 2], [2, 0, 1], [2, 1, 1]]"
XX OXX OO,7,XX OXXOOO,"[[1, 1, 0], [2, 1, 1], [0, 2, 2]]","[[1, 1, 0], [2, 1, 1], [2, 2, 2]]"
XX    OO ,3,XXX   OO ,"[[1, 1, 0], [0, 0, 0], [2, 2, 0]]","[[1, 1, 1], [0, 0, 0], [2, 2, 0]]"
  X  X  O,9,  X  X  O,"[[0, 0, 1], [0, 0, 1], [0, 0, 2]]","[[0, 0, 1], [0, 0, 1], [0, 0, 2]]"
   O  X  ,7,   O  X  ,"[[0, 0, 0], [2, 0, 0], [1, 0, 0]]","[[0, 0, 0], [2, 0, 0], [1, 0, 0]]"
O X  OX  ,5,O X XOX  ,"[[2, 0, 1], [0, 0, 2], [1, 0, 0]]","[[2, 0, 1], [0, 1, 2], [1, 0, 0]]"
X  OOX  X,3,X OOOX  X,"[[1, 0, 0], [2, 2, 1], [0, 0, 1]]","[[1, 0, 2], [2, 2, 1], [0, 0, 1]]"
 XX  O OX,1,OXX  O OX,"[[0, 1, 1], [0, 0, 2], [0, 2, 1]]","[[2, 1, 1], [0, 0, 2], [0, 2, 1]]"
XO       ,9,XO      X,"[[1, 2, 0], [0, 0, 0], [0, 0, 0]]","[[1, 2, 0], [0, 0, 0], [0, 0, 1]]"
 XX OOO X,1,XXX OOO X,"[[0, 1, 1], [0, 2, 2], [2, 0, 1]]","[[1, 1, 1], [0, 2, 2], [2, 0, 1]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
X      O ,3,X X    O ,"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 1], [0, 0, 0], [0, 2, 0]]"
 OXXO   X,8, OXXO  OX,"[[0, 2, 1], [1, 2, 0], [0, 0, 1]]","[[0, 2, 1], [1, 2, 0], [0, 2, 1]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
O XX  OOX,6,O XX XOOX,"[[2, 0, 1], [1, 0, 0], [2, 2, 1]]","[[2, 0, 1], [1, 0, 1], [2, 2, 1]]"
XXOOXOX  ,9,XXOOXOX O,"[[1, 1, 2], [2, 1, 2], [1, 0, 0]]","[[1, 1, 2], [2, 1, 2], [1, 0, 2]]"
XOX    OX,5,XOX O  OX,"[[1, 2, 1], [0, 0, 0], [0, 2, 1]]","[[1, 2, 1], [0, 2, 0], [0, 2, 1]]"
OOX   XXO,5,OOX X XXO,"[[2, 2, 1], [0, 0, 0], [1, 1, 2]]","[[2, 2, 1], [0, 1, 0], [1, 1, 2]]"
  X     O,3,  X     O,"[[0, 0, 1], [0, 0, 0], [0, 0, 2]]","[[0, 0, 1], [0, 0, 0], [0, 0, 2]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
XOXO   OX,5,XOXOX  OX,"[[1, 2, 1], [2, 0, 0], [0, 2, 1]]","[[1, 2, 1], [2, 1, 0], [0, 2, 1]]"
 X X  OOX,7, X X  OOX,"[[0, 1, 0], [1, 0, 0], [2, 2, 1]]","[[0, 1, 0], [1, 0, 0], [2, 2, 1]]"
XXO  XXOO,4,XXOO XXOO,"[[1, 1, 2], [0, 0, 1], [1, 2, 2]]","[[1, 1, 2], [2, 0, 1], [1, 2, 2]]"
 XOOX XO ,9, XOOX XOX,"[[0, 1, 2], [2, 1, 0], [1, 2, 0]]","[[0, 1, 2], [2, 1, 0], [1, 2, 1]]"
X OOX  X ,2,XOOOX  X ,"[[1, 0, 2], [2, 1, 0], [0, 1, 0]]","[[1, 2, 2], [2, 1, 0], [0, 1, 0]]"
 OXOXX XO,7, OXOXXOXO,"[[0, 2, 1], [2, 1, 1], [0, 1, 2]]","[[0, 2, 1], [2, 1, 1], [2, 1, 2]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
  OXOX X ,7,  OXOXOX ,"[[0, 0, 2], [1, 2, 1], [0, 1, 0]]","[[0, 0, 2], [1, 2, 1], [2, 1, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
OX X     ,5,OX XO    ,"[[2, 1, 0], [1, 0, 0], [0, 0, 0]]","[[2, 1, 0], [1, 2, 0], [0, 0, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
O X    X ,9,O X    XO,"[[2, 0, 1], [0, 0, 0], [0, 1, 0]]","[[2, 0, 1], [0, 0, 0], [0, 1, 2]]"
  X   XO ,5,  X O XO ,"[[0, 0, 1], [0, 0, 0], [1, 2, 0]]","[[0, 0, 1], [0, 2, 0], [1, 2, 0]]"
OOXOXX   ,7,OOXOXXX  ,"[[2, 2, 1], [2, 1, 1], [0, 0, 0]]","[[2, 2, 1], [2, 1, 1], [1, 0, 0]]"
O XXOOX  ,9,O XXOOX X,"[[2, 0, 1], [1, 2, 2], [1, 0, 0]]","[[2, 0, 1], [1, 2, 2], [1, 0, 1]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
 XO XXOOX,1,OXO XXOOX,"[[0, 1, 2], [0, 1, 1], [2, 2, 1]]","[[2, 1, 2], [0, 1, 1], [2, 2, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
XOO  X   ,9,XOO  X  X,"[[1, 2, 2], [0, 0, 1], [0, 0, 0]]","[[1, 2, 2], [0, 0, 1], [0, 0, 1]]"
 O   XOXX,3, OO  XOXX,"[[0, 2, 0], [0, 0, 1], [2, 1, 1]]","[[0, 2, 2], [0, 0, 1], [2, 1, 1]]"
 X  O  X ,3, XO O  X ,"[[0, 1, 0], [0, 2, 0], [0, 1, 0]]","[[0, 1, 2], [0, 2, 0], [0, 1, 0]]"
   XOX XO,1,O  XOX XO,"[[0, 0, 0], [1, 2, 1], [0, 1, 2]]","[[2, 0, 0], [1, 2, 1], [0, 1, 2]]"
 XO    XO,5, XO X  XO,"[[0, 1, 2], [0, 0, 0], [0, 1, 2]]","[[0, 1, 2], [0, 1, 0], [0, 1, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 X  OOOXX,3, XX OOOXX,"[[0, 1, 0], [0, 2, 2], [2, 1, 1]]","[[0, 1, 1], [0, 2, 2], [2, 1, 1]]"
    OX  X,3,  O OX  X,"[[0, 0, 0], [0, 2, 1], [0, 0, 1]]","[[0, 0, 2], [0, 2, 1], [0, 0, 1]]"
O X   XO ,5,O X X XO ,"[[2, 0, 1], [0, 0, 0], [1, 2, 0]]","[[2, 0, 1], [0, 1, 0], [1, 2, 0]]"
XX X  OO ,9,XX X  OOO,"[[1, 1, 0], [1, 0, 0], [2, 2, 0]]","[[1, 1, 0], [1, 0, 0], [2, 2, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
  X    O ,7,  X   XO ,"[[0, 0, 1], [0, 0, 0], [0, 2, 0]]","[[0, 0, 1], [0, 0, 0], [1, 2, 0]]"
O XXXO O ,7,O XXXOXO ,"[[2, 0, 1], [1, 1, 2], [0, 2, 0]]","[[2, 0, 1], [1, 1, 2], [1, 2, 0]]"
  O XXO X,1,O O XXO X,"[[0, 0, 2], [0, 1, 1], [2, 0, 1]]","[[2, 0, 2], [0, 1, 1], [2, 0, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
O  X X O ,5,O  XXX O ,"[[2, 0, 0], [1, 0, 1], [0, 2, 0]]","[[2, 0, 0], [1, 1, 1], [0, 2, 0]]"
OX  X    ,8,OX  X  O ,"[[2, 1, 0], [0, 1, 0], [0, 0, 0]]","[[2, 1, 0], [0, 1, 0], [0, 2, 0]]"
  X OOX X,4,  XOOOX X,"[[0, 0, 1], [0, 2, 2], [1, 0, 1]]","[[0, 0, 1], [2, 2, 2], [1, 0, 1]]"
OXOO XXXO,5,OXOOXXXXO,"[[2, 1, 2], [2, 0, 1], [1, 1, 2]]","[[2, 1, 2], [2, 1, 1], [1, 1, 2]]"
O  XXO OX,1,X  XXO OX,"[[2, 0, 0], [1, 1, 2], [0, 2, 1]]","[[1, 0, 0], [1, 1, 2], [0, 2, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
XXO XOO  ,8,XXO XOOX ,"[[1, 1, 2], [0, 1, 2], [2, 0, 0]]","[[1, 1, 2], [0, 1, 2], [2, 1, 0]]"
X    X  O,5,X   OX  O,"[[1, 0, 0], [0, 0, 1], [0, 0, 2]]","[[1, 0, 0], [0, 2, 1], [0, 0, 2]]"
  O    X ,1,X O    X ,"[[0, 0, 2], [0, 0, 0], [0, 1, 0]]","[[1, 0, 2], [0, 0, 0], [0, 1, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
X  O   X ,9,X  O   XO,"[[1, 0, 0], [2, 0, 0], [0, 1, 0]]","[[1, 0, 0], [2, 0, 0], [0, 1, 2]]"
OX  X O X,4,OX OX O X,"[[2, 1, 0], [0, 1, 0], [2, 0, 1]]","[[2, 1, 0], [2, 1, 0], [2, 0, 1]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
X      OX,5,X   O  OX,"[[1, 0, 0], [0, 0, 0], [0, 2, 1]]","[[1, 0, 0], [0, 2, 0], [0, 2, 1]]"
XO  OXOX ,3,XOX OXOX ,"[[1, 2, 0], [0, 2, 1], [2, 1, 0]]","[[1, 2, 1], [0, 2, 1], [2, 1, 0]]"
X      OX,5,X   O  OX,"[[1, 0, 0], [0, 0, 0], [0, 2, 1]]","[[1, 0, 0], [0, 2, 0], [0, 2, 1]]"
O X      ,3,O X      ,"[[2, 0, 1], [0, 0, 0], [0, 0, 0]]","[[2, 0, 1], [0, 0, 0], [0, 0, 0]]"
OXXXOO OX,3,OXXXOO OX,"[[2, 1, 1], [1, 2, 2], [0, 2, 1]]","[[2, 1, 1], [1, 2, 2], [0, 2, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 XO    XO,5, XO X  XO,"[[0, 1, 2], [0, 0, 0], [0, 1, 2]]","[[0, 1, 2], [0, 1, 0], [0, 1, 2]]"
OO X X X ,3,OOOX X X ,"[[2, 2, 0], [1, 0, 1], [0, 1, 0]]","[[2, 2, 2], [1, 0, 1], [0, 1, 0]]"
 X    O  ,5, X  X O  ,"[[0, 1, 0], [0, 0, 0], [2, 0, 0]]","[[0, 1, 0], [0, 1, 0], [2, 0, 0]]"
OO OX X X,3,OOXOX X X,"[[2, 2, 0], [2, 1, 0], [1, 0, 1]]","[[2, 2, 1], [2, 1, 0], [1, 0, 1]]"
O OXXOX X,2,OOOXXOX X,"[[2, 0, 2], [1, 1, 2], [1, 0, 1]]","[[2, 2, 2], [1, 1, 2], [1, 0, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
O  XOXO X,3,O XXOXO X,"[[2, 0, 0], [1, 2, 1], [2, 0, 1]]","[[2, 0, 1], [1, 2, 1], [2, 0, 1]]"
 OXO  XX ,5, OXOO XX ,"[[0, 2, 1], [2, 0, 0], [1, 1, 0]]","[[0, 2, 1], [2, 2, 0], [1, 1, 0]]"
 OOXX X O,1,XOOXX X O,"[[0, 2, 2], [1, 1, 0], [1, 0, 2]]","[[1, 2, 2], [1, 1, 0], [1, 0, 2]]"
O X XXOXO,4,O XOXXOXO,"[[2, 0, 1], [0, 1, 1], [2, 1, 2]]","[[2, 0, 1], [2, 1, 1], [2, 1, 2]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
OXOXOO XX,7,OXOXOOXXX,"[[2, 1, 2], [1, 2, 2], [0, 1, 1]]","[[2, 1, 2], [1, 2, 2], [1, 1, 1]]"
      OXX,7,      OXX,"[[0, 0, 0], [0, 0, 0], [2, 1, 1]]","[[0, 0, 0], [0, 0, 0], [2, 1, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 OO   XX ,9, OO   XXX,"[[0, 2, 2], [0, 0, 0], [1, 1, 0]]","[[0, 2, 2], [0, 0, 0], [1, 1, 1]]"
   O X XO,5,   OXX XO,"[[0, 0, 0], [2, 0, 1], [0, 1, 2]]","[[0, 0, 0], [2, 1, 1], [0, 1, 2]]"
  X X O  ,3,  O X O  ,"[[0, 0, 1], [0, 1, 0], [2, 0, 0]]","[[0, 0, 2], [0, 1, 0], [2, 0, 0]]"
 X OO X  ,6, X OOXX  ,"[[0, 1, 0], [2, 2, 0], [1, 0, 0]]","[[0, 1, 0], [2, 2, 1], [1, 0, 0]]"
  XOX    ,7,  XOX O  ,"[[0, 0, 1], [2, 1, 0], [0, 0, 0]]","[[0, 0, 1], [2, 1, 0], [2, 0, 0]]"
      XO ,1,X     XO ,"[[0, 0, 0], [0, 0, 0], [1, 2, 0]]","[[1, 0, 0], [0, 0, 0], [1, 2, 0]]"
XOX X  O ,7,XOX X OO ,"[[1, 2, 1], [0, 1, 0], [0, 2, 0]]","[[1, 2, 1], [0, 1, 0], [2, 2, 0]]"
XXOO  X O,6,XXOO XX O,"[[1, 1, 2], [2, 0, 0], [1, 0, 2]]","[[1, 1, 2], [2, 0, 1], [1, 0, 2]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
O XX OXO ,5,O XXXOXO ,"[[2, 0, 1], [1, 0, 2], [1, 2, 0]]","[[2, 0, 1], [1, 1, 2], [1, 2, 0]]"
 O XO  XX,7, O XO OXX,"[[0, 2, 0], [1, 2, 0], [0, 1, 1]]","[[0, 2, 0], [1, 2, 0], [2, 1, 1]]"
 X X XO O,8, X X XOOO,"[[0, 1, 0], [1, 0, 1], [2, 0, 2]]","[[0, 1, 0], [1, 0, 1], [2, 2, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
  OXX XOO,1,X OXX XOO,"[[0, 0, 2], [1, 1, 0], [1, 2, 2]]","[[1, 0, 2], [1, 1, 0], [1, 2, 2]]"
   X OX  ,1,O  X OX  ,"[[0, 0, 0], [1, 0, 2], [1, 0, 0]]","[[2, 0, 0], [1, 0, 2], [1, 0, 0]]"
O OOX X X,8,O OOX XXX,"[[2, 0, 2], [2, 1, 0], [1, 0, 1]]","[[2, 0, 2], [2, 1, 0], [1, 1, 1]]"
OO XX X O,3,OOXXX X O,"[[2, 2, 0], [1, 1, 0], [1, 0, 2]]","[[2, 2, 1], [1, 1, 0], [1, 0, 2]]"
XXOX O OX,5,XXOXOO OX,"[[1, 1, 2], [1, 0, 2], [0, 2, 1]]","[[1, 1, 2], [1, 2, 2], [0, 2, 1]]"
OXXXXO O ,7,OXXXXOOO ,"[[2, 1, 1], [1, 1, 2], [0, 2, 0]]","[[2, 1, 1], [1, 1, 2], [2, 2, 0]]"
 XX OXOXO,1,OXX OXOXO,"[[0, 1, 1], [0, 2, 1], [2, 1, 2]]","[[2, 1, 1], [0, 2, 1], [2, 1, 2]]"
XXOOXXO O,8,XXOOXXOXO,"[[1, 1, 2], [2, 1, 1], [2, 0, 2]]","[[1, 1, 2], [2, 1, 1], [2, 1, 2]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
      OX ,3,  X   OX ,"[[0, 0, 0], [0, 0, 0], [2, 1, 0]]","[[0, 0, 1], [0, 0, 0], [2, 1, 0]]"
    XXO O,4,   XXXO O,"[[0, 0, 0], [0, 1, 1], [2, 0, 2]]","[[0, 0, 0], [1, 1, 1], [2, 0, 2]]"
OOX XXO  ,4,OOXXXXO  ,"[[2, 2, 1], [0, 1, 1], [2, 0, 0]]","[[2, 2, 1], [1, 1, 1], [2, 0, 0]]"
 XOO XOX ,5, XOOXXOX ,"[[0, 1, 2], [2, 0, 1], [2, 1, 0]]","[[0, 1, 2], [2, 1, 1], [2, 1, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
 O   X   ,5, O  XX   ,"[[0, 2, 0], [0, 0, 1], [0, 0, 0]]","[[0, 2, 0], [0, 1, 1], [0, 0, 0]]"
 O  XXOX ,4, O OXXOX ,"[[0, 2, 0], [0, 1, 1], [2, 1, 0]]","[[0, 2, 0], [2, 1, 1], [2, 1, 0]]"
X  OXOX O,3,X XOXOX O,"[[1, 0, 0], [2, 1, 2], [1, 0, 2]]","[[1, 0, 1], [2, 1, 2], [1, 0, 2]]"
   XX OO ,6,   XXXOO ,"[[0, 0, 0], [1, 1, 0], [2, 2, 0]]","[[0, 0, 0], [1, 1, 1], [2, 2, 0]]"
XO  XX O ,4,XO OXX O ,"[[1, 2, 0], [0, 1, 1], [0, 2, 0]]","[[1, 2, 0], [2, 1, 1], [0, 2, 0]]"
    XOOXX,1,O   XOOXX,"[[0, 0, 0], [0, 1, 2], [2, 1, 1]]","[[2, 0, 0], [0, 1, 2], [2, 1, 1]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
     XOX ,5,    OXOX ,"[[0, 0, 0], [0, 0, 1], [2, 1, 0]]","[[0, 0, 0], [0, 2, 1], [2, 1, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 OXXXOOXO,9, OXXXOOXX,"[[0, 2, 1], [1, 1, 2], [2, 1, 2]]","[[0, 2, 1], [1, 1, 2], [2, 1, 1]]"
XOX OX XO,1,OOX OX XO,"[[1, 2, 1], [0, 2, 1], [0, 1, 2]]","[[2, 2, 1], [0, 2, 1], [0, 1, 2]]"
O OXX XO ,6,O OXXXXO ,"[[2, 0, 2], [1, 1, 0], [1, 2, 0]]","[[2, 0, 2], [1, 1, 1], [1, 2, 0]]"
  X  OX  ,5,  X OOX  ,"[[0, 0, 1], [0, 0, 2], [1, 0, 0]]","[[0, 0, 1], [0, 2, 2], [1, 0, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
 XXO OXXO,5, XXOOOXXO,"[[0, 1, 1], [2, 0, 2], [1, 1, 2]]","[[0, 1, 1], [2, 2, 2], [1, 1, 2]]"
 O X X O ,5, O XXX O ,"[[0, 2, 0], [1, 0, 1], [0, 2, 0]]","[[0, 2, 0], [1, 1, 1], [0, 2, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 X OO  XX,6, X OOO XX,"[[0, 1, 0], [2, 2, 0], [0, 1, 1]]","[[0, 1, 0], [2, 2, 2], [0, 1, 1]]"
 O X X O ,5, O XXX O ,"[[0, 2, 0], [1, 0, 1], [0, 2, 0]]","[[0, 2, 0], [1, 1, 1], [0, 2, 0]]"
 O    XXO,5, O  X XXO,"[[0, 2, 0], [0, 0, 0], [1, 1, 2]]","[[0, 2, 0], [0, 1, 0], [1, 1, 2]]"
XO OXOX  ,3,XOXOXOX  ,"[[1, 2, 0], [2, 1, 2], [1, 0, 0]]","[[1, 2, 1], [2, 1, 2], [1, 0, 0]]"
  O XX XO,2, OO XX XO,"[[0, 0, 2], [0, 1, 1], [0, 1, 2]]","[[0, 2, 2], [0, 1, 1], [0, 1, 2]]"
 OOXXOX X,1,OOOXXOX X,"[[0, 2, 2], [1, 1, 2], [1, 0, 1]]","[[2, 2, 2], [1, 1, 2], [1, 0, 1]]"
