Input Board,decision,Output Board,Input Graph,Output Graph
     O  X,7,     OX X,"[[0, 0, 0], [0, 0, 2], [0, 0, 1]]","[[0, 0, 0], [0, 0, 2], [1, 0, 1]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
XO  XO   ,7,XO  XOX  ,"[[1, 2, 0], [0, 1, 2], [0, 0, 0]]","[[1, 2, 0], [0, 1, 2], [1, 0, 0]]"
X    XO  ,9,X    XO O,"[[1, 0, 0], [0, 0, 1], [2, 0, 0]]","[[1, 0, 0], [0, 0, 1], [2, 0, 2]]"
OXO  OXX ,9,OXO  OXXX,"[[2, 1, 2], [0, 0, 2], [1, 1, 0]]","[[2, 1, 2], [0, 0, 2], [1, 1, 1]]"
   XOXXO ,1,O  XOXXO ,"[[0, 0, 0], [1, 2, 1], [1, 2, 0]]","[[2, 0, 0], [1, 2, 1], [1, 2, 0]]"
X O XOX  ,9,X O XOX O,"[[1, 0, 2], [0, 1, 2], [1, 0, 0]]","[[1, 0, 2], [0, 1, 2], [1, 0, 2]]"
 O X  X O,3, OXX  X O,"[[0, 2, 0], [1, 0, 0], [1, 0, 2]]","[[0, 2, 1], [1, 0, 0], [1, 0, 2]]"
   O  X  ,5,   OX X  ,"[[0, 0, 0], [2, 0, 0], [1, 0, 0]]","[[0, 0, 0], [2, 1, 0], [1, 0, 0]]"
OXOO X X ,5,OXOOXX X ,"[[2, 1, 2], [2, 0, 1], [0, 1, 0]]","[[2, 1, 2], [2, 1, 1], [0, 1, 0]]"
O XO   X ,7,O XO  XX ,"[[2, 0, 1], [2, 0, 0], [0, 1, 0]]","[[2, 0, 1], [2, 0, 0], [1, 1, 0]]"
XXO OOXX ,9,XXO OOXXO,"[[1, 1, 2], [0, 2, 2], [1, 1, 0]]","[[1, 1, 2], [0, 2, 2], [1, 1, 2]]"
 OO  XXX ,1,OOO  XXX ,"[[0, 2, 2], [0, 0, 1], [1, 1, 0]]","[[2, 2, 2], [0, 0, 1], [1, 1, 0]]"
O   O XX ,9,O   O XXX,"[[2, 0, 0], [0, 2, 0], [1, 1, 0]]","[[2, 0, 0], [0, 2, 0], [1, 1, 1]]"
         ,5,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 O     X ,9, O     XX,"[[0, 2, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 1]]"
OO XXO  X,3,OOXXXO  X,"[[2, 2, 0], [1, 1, 2], [0, 0, 1]]","[[2, 2, 1], [1, 1, 2], [0, 0, 1]]"
    O  XX,7,    O OXX,"[[0, 0, 0], [0, 2, 0], [0, 1, 1]]","[[0, 0, 0], [0, 2, 0], [2, 1, 1]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
    X    ,9,    X   O,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 X     OX,3, XO    OX,"[[0, 1, 0], [0, 0, 0], [0, 2, 1]]","[[0, 1, 2], [0, 0, 0], [0, 2, 1]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
X O      ,7,X O   X  ,"[[1, 0, 2], [0, 0, 0], [0, 0, 0]]","[[1, 0, 2], [0, 0, 0], [1, 0, 0]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
 OXX OXOX,5, OXXOOXOX,"[[0, 2, 1], [1, 0, 2], [1, 2, 1]]","[[0, 2, 1], [1, 2, 2], [1, 2, 1]]"
 X  OXO  ,3, XX OXO  ,"[[0, 1, 0], [0, 2, 1], [2, 0, 0]]","[[0, 1, 1], [0, 2, 1], [2, 0, 0]]"
    X    ,9,    X   O,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 2]]"
OO X  X  ,5,OO XX X  ,"[[2, 2, 0], [1, 0, 0], [1, 0, 0]]","[[2, 2, 0], [1, 1, 0], [1, 0, 0]]"
XXO      ,6,XXO  O   ,"[[1, 1, 2], [0, 0, 0], [0, 0, 0]]","[[1, 1, 2], [0, 0, 2], [0, 0, 0]]"
X   X OO ,9,X   X OOX,"[[1, 0, 0], [0, 1, 0], [2, 2, 0]]","[[1, 0, 0], [0, 1, 0], [2, 2, 1]]"
   OX    ,8,   OX  X ,"[[0, 0, 0], [2, 1, 0], [0, 0, 0]]","[[0, 0, 0], [2, 1, 0], [0, 1, 0]]"
 O X XO X,1,OO X XO X,"[[0, 2, 0], [1, 0, 1], [2, 0, 1]]","[[2, 2, 0], [1, 0, 1], [2, 0, 1]]"
 O  X    ,4, O XX    ,"[[0, 2, 0], [0, 1, 0], [0, 0, 0]]","[[0, 2, 0], [1, 1, 0], [0, 0, 0]]"
O XX  OX ,5,O XXO OX ,"[[2, 0, 1], [1, 0, 0], [2, 1, 0]]","[[2, 0, 1], [1, 2, 0], [2, 1, 0]]"
X  OX XOO,3,X XOX XOO,"[[1, 0, 0], [2, 1, 0], [1, 2, 2]]","[[1, 0, 1], [2, 1, 0], [1, 2, 2]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
X XXO O O,2,XXXXO O O,"[[1, 0, 1], [1, 2, 0], [2, 0, 2]]","[[1, 1, 1], [1, 2, 0], [2, 0, 2]]"
 XO     X,8, XO    OX,"[[0, 1, 2], [0, 0, 0], [0, 0, 1]]","[[0, 1, 2], [0, 0, 0], [0, 2, 1]]"
  X  XO  ,9,  X  XO O,"[[0, 0, 1], [0, 0, 1], [2, 0, 0]]","[[0, 0, 1], [0, 0, 1], [2, 0, 2]]"
  X  X  O,7,  X  XO O,"[[0, 0, 1], [0, 0, 1], [0, 0, 2]]","[[0, 0, 1], [0, 0, 1], [2, 0, 2]]"
     X O ,5,    XX O ,"[[0, 0, 0], [0, 0, 1], [0, 2, 0]]","[[0, 0, 0], [0, 1, 1], [0, 2, 0]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
O X   XO ,9,O X   XOX,"[[2, 0, 1], [0, 0, 0], [1, 2, 0]]","[[2, 0, 1], [0, 0, 0], [1, 2, 1]]"
 XXO  X O,6, XXO OX O,"[[0, 1, 1], [2, 0, 0], [1, 0, 2]]","[[0, 1, 1], [2, 0, 2], [1, 0, 2]]"
X OXX  OO,6,X OXXX OO,"[[1, 0, 2], [1, 1, 0], [0, 2, 2]]","[[1, 0, 2], [1, 1, 1], [0, 2, 2]]"
XX  O  O ,7,XX  O XO ,"[[1, 1, 0], [0, 2, 0], [0, 2, 0]]","[[1, 1, 0], [0, 2, 0], [1, 2, 0]]"
 XXXOOOXO,1,XXXXOOOXO,"[[0, 1, 1], [1, 2, 2], [2, 1, 2]]","[[1, 1, 1], [1, 2, 2], [2, 1, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 X       ,8, X     O ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 2, 0]]"
         ,5,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
O XXX O O,8,O XXX OXO,"[[2, 0, 1], [1, 1, 0], [2, 0, 2]]","[[2, 0, 1], [1, 1, 0], [2, 1, 2]]"
OXOXOX   ,8,OXOXOX X ,"[[2, 1, 2], [1, 2, 1], [0, 0, 0]]","[[2, 1, 2], [1, 2, 1], [0, 1, 0]]"
 X  XXO O,8, X  XXOOO,"[[0, 1, 0], [0, 1, 1], [2, 0, 2]]","[[0, 1, 0], [0, 1, 1], [2, 2, 2]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
 X       ,1,OX       ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[2, 1, 0], [0, 0, 0], [0, 0, 0]]"
  XOXO   ,1,X XOXO   ,"[[0, 0, 1], [2, 1, 2], [0, 0, 0]]","[[1, 0, 1], [2, 1, 2], [0, 0, 0]]"
  X    O ,9,  X    OX,"[[0, 0, 1], [0, 0, 0], [0, 2, 0]]","[[0, 0, 1], [0, 0, 0], [0, 2, 1]]"
      XO ,5,    X XO ,"[[0, 0, 0], [0, 0, 0], [1, 2, 0]]","[[0, 0, 0], [0, 1, 0], [1, 2, 0]]"
O  OXX   ,7,O  OXXX  ,"[[2, 0, 0], [2, 1, 1], [0, 0, 0]]","[[2, 0, 0], [2, 1, 1], [1, 0, 0]]"
 X  O  X ,4, X OO  X ,"[[0, 1, 0], [0, 2, 0], [0, 1, 0]]","[[0, 1, 0], [2, 2, 0], [0, 1, 0]]"
  X     O,7,  X   X O,"[[0, 0, 1], [0, 0, 0], [0, 0, 2]]","[[0, 0, 1], [0, 0, 0], [1, 0, 2]]"
  OX XOXO,5,  OXXXOXO,"[[0, 0, 2], [1, 0, 1], [2, 1, 2]]","[[0, 0, 2], [1, 1, 1], [2, 1, 2]]"
   X     ,7,   X  O  ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [2, 0, 0]]"
 O      X,3, OX     X,"[[0, 2, 0], [0, 0, 0], [0, 0, 1]]","[[0, 2, 1], [0, 0, 0], [0, 0, 1]]"
 O    XOX,5, O  X XOX,"[[0, 2, 0], [0, 0, 0], [1, 2, 1]]","[[0, 2, 0], [0, 1, 0], [1, 2, 1]]"
  XOOXOX ,1,X XOOXOX ,"[[0, 0, 1], [2, 2, 1], [2, 1, 0]]","[[1, 0, 1], [2, 2, 1], [2, 1, 0]]"
X O OXX  ,4,X OOOXX  ,"[[1, 0, 2], [0, 2, 1], [1, 0, 0]]","[[1, 0, 2], [2, 2, 1], [1, 0, 0]]"
O   OX  X,8,O   OX XX,"[[2, 0, 0], [0, 2, 1], [0, 0, 1]]","[[2, 0, 0], [0, 2, 1], [0, 1, 1]]"
XXOXXO O ,9,XXOXXO OO,"[[1, 1, 2], [1, 1, 2], [0, 2, 0]]","[[1, 1, 2], [1, 1, 2], [0, 2, 2]]"
X   OOX X,4,X  OOOX X,"[[1, 0, 0], [0, 2, 2], [1, 0, 1]]","[[1, 0, 0], [2, 2, 2], [1, 0, 1]]"
XOOX X O ,5,XOOXXX O ,"[[1, 2, 2], [1, 0, 1], [0, 2, 0]]","[[1, 2, 2], [1, 1, 1], [0, 2, 0]]"
 O     X ,5, O  X  X ,"[[0, 2, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 1, 0], [0, 1, 0]]"
 X  X   O,8, X  X  OO,"[[0, 1, 0], [0, 1, 0], [0, 0, 2]]","[[0, 1, 0], [0, 1, 0], [0, 2, 2]]"
 X O    X,5, X OO   X,"[[0, 1, 0], [2, 0, 0], [0, 0, 1]]","[[0, 1, 0], [2, 2, 0], [0, 0, 1]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
  O X    ,8,  O X  X ,"[[0, 0, 2], [0, 1, 0], [0, 0, 0]]","[[0, 0, 2], [0, 1, 0], [0, 1, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
O X   OXX,4,O XO  OXX,"[[2, 0, 1], [0, 0, 0], [2, 1, 1]]","[[2, 0, 1], [2, 0, 0], [2, 1, 1]]"
XX  OX OO,3,XXX OX OO,"[[1, 1, 0], [0, 2, 1], [0, 2, 2]]","[[1, 1, 1], [0, 2, 1], [0, 2, 2]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
 XX OXO  ,8, XX OXOO ,"[[0, 1, 1], [0, 2, 1], [2, 0, 0]]","[[0, 1, 1], [0, 2, 1], [2, 2, 0]]"
    O   X,4,   XO   X,"[[0, 0, 0], [0, 2, 0], [0, 0, 1]]","[[0, 0, 0], [1, 2, 0], [0, 0, 1]]"
XXOOX XO ,9,XXOOX XOO,"[[1, 1, 2], [2, 1, 0], [1, 2, 0]]","[[1, 1, 2], [2, 1, 0], [1, 2, 2]]"
XOXOXXOO ,9,XOXOXXOOX,"[[1, 2, 1], [2, 1, 1], [2, 2, 0]]","[[1, 2, 1], [2, 1, 1], [2, 2, 1]]"
 O   X   ,5, O  XX   ,"[[0, 2, 0], [0, 0, 1], [0, 0, 0]]","[[0, 2, 0], [0, 1, 1], [0, 0, 0]]"
  O X X  ,1,O O X X  ,"[[0, 0, 2], [0, 1, 0], [1, 0, 0]]","[[2, 0, 2], [0, 1, 0], [1, 0, 0]]"
O   O  XX,3,O X O  XX,"[[2, 0, 0], [0, 2, 0], [0, 1, 1]]","[[2, 0, 1], [0, 2, 0], [0, 1, 1]]"
OO XXO XX,3,OOOXXO XX,"[[2, 2, 0], [1, 1, 2], [0, 1, 1]]","[[2, 2, 2], [1, 1, 2], [0, 1, 1]]"
X O  OXOX,2,XXO  OXOX,"[[1, 0, 2], [0, 0, 2], [1, 2, 1]]","[[1, 1, 2], [0, 0, 2], [1, 2, 1]]"
   O   XX,7,   O  OXX,"[[0, 0, 0], [2, 0, 0], [0, 1, 1]]","[[0, 0, 0], [2, 0, 0], [2, 1, 1]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
XOO X X  ,4,XOOOX X  ,"[[1, 2, 2], [0, 1, 0], [1, 0, 0]]","[[1, 2, 2], [2, 1, 0], [1, 0, 0]]"
         ,5,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
OX     X ,5,OX  O  X ,"[[2, 1, 0], [0, 0, 0], [0, 1, 0]]","[[2, 1, 0], [0, 2, 0], [0, 1, 0]]"
   XOOXOX,1,X  XOOXOX,"[[0, 0, 0], [1, 2, 2], [1, 2, 1]]","[[1, 0, 0], [1, 2, 2], [1, 2, 1]]"
X O  X   ,4,X OO X   ,"[[1, 0, 2], [0, 0, 1], [0, 0, 0]]","[[1, 0, 2], [2, 0, 1], [0, 0, 0]]"
 O O X XX,7, O O XOXX,"[[0, 2, 0], [2, 0, 1], [0, 1, 1]]","[[0, 2, 0], [2, 0, 1], [2, 1, 1]]"
X OO  XX ,9,X OO  XXO,"[[1, 0, 2], [2, 0, 0], [1, 1, 0]]","[[1, 0, 2], [2, 0, 0], [1, 1, 2]]"
O O  X XX,7,O O  XOXX,"[[2, 0, 2], [0, 0, 1], [0, 1, 1]]","[[2, 0, 2], [0, 0, 1], [2, 1, 1]]"
O     X X,3,O O   X X,"[[2, 0, 0], [0, 0, 0], [1, 0, 1]]","[[2, 0, 2], [0, 0, 0], [1, 0, 1]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
XO OXXO  ,9,XO OXXO X,"[[1, 2, 0], [2, 1, 1], [2, 0, 0]]","[[1, 2, 0], [2, 1, 1], [2, 0, 1]]"
OXX O OXX,4,OXXOO OXX,"[[2, 1, 1], [0, 2, 0], [2, 1, 1]]","[[2, 1, 1], [2, 2, 0], [2, 1, 1]]"
  OX  OXX,2, OOX  OXX,"[[0, 0, 2], [1, 0, 0], [2, 1, 1]]","[[0, 2, 2], [1, 0, 0], [2, 1, 1]]"
XX XXOOO ,9,XX XXOOOO,"[[1, 1, 0], [1, 1, 2], [2, 2, 0]]","[[1, 1, 0], [1, 1, 2], [2, 2, 2]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
 X X  O  ,9, X X  O O,"[[0, 1, 0], [1, 0, 0], [2, 0, 0]]","[[0, 1, 0], [1, 0, 0], [2, 0, 2]]"
  X    XO,5,  X O  XO,"[[0, 0, 1], [0, 0, 0], [0, 1, 2]]","[[0, 0, 1], [0, 2, 0], [0, 1, 2]]"
     X   ,3,  O  X   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 2], [0, 0, 1], [0, 0, 0]]"
XOXXOOO X,8,XOXXOOOXX,"[[1, 2, 1], [1, 2, 2], [2, 0, 1]]","[[1, 2, 1], [1, 2, 2], [2, 1, 1]]"
OX    XOX,6,OX   OXOX,"[[2, 1, 0], [0, 0, 0], [1, 2, 1]]","[[2, 1, 0], [0, 0, 2], [1, 2, 1]]"
O    X OX,5,O   XX OX,"[[2, 0, 0], [0, 0, 1], [0, 2, 1]]","[[2, 0, 0], [0, 1, 1], [0, 2, 1]]"
   O XOX ,1,X  O XOX ,"[[0, 0, 0], [2, 0, 1], [2, 1, 0]]","[[1, 0, 0], [2, 0, 1], [2, 1, 0]]"
XO  X    ,8,XO  X  O ,"[[1, 2, 0], [0, 1, 0], [0, 0, 0]]","[[1, 2, 0], [0, 1, 0], [0, 2, 0]]"
X      XO,3,X O    XO,"[[1, 0, 0], [0, 0, 0], [0, 1, 2]]","[[1, 0, 2], [0, 0, 0], [0, 1, 2]]"
 O X X O ,5, O XXX O ,"[[0, 2, 0], [1, 0, 1], [0, 2, 0]]","[[0, 2, 0], [1, 1, 1], [0, 2, 0]]"
 O XOXXXO,1,OO XOXXXO,"[[0, 2, 0], [1, 2, 1], [1, 1, 2]]","[[2, 2, 0], [1, 2, 1], [1, 1, 2]]"
X X   O O,2,XXX   O O,"[[1, 0, 1], [0, 0, 0], [2, 0, 2]]","[[1, 1, 1], [0, 0, 0], [2, 0, 2]]"
OXOXOOXX ,9,OXOXOOXXX,"[[2, 1, 2], [1, 2, 2], [1, 1, 0]]","[[2, 1, 2], [1, 2, 2], [1, 1, 1]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
XO XOX  O,7,XO XOXX O,"[[1, 2, 0], [1, 2, 1], [0, 0, 2]]","[[1, 2, 0], [1, 2, 1], [1, 0, 2]]"
  X    OX,1,O X    OX,"[[0, 0, 1], [0, 0, 0], [0, 2, 1]]","[[2, 0, 1], [0, 0, 0], [0, 2, 1]]"
      OX ,4,   X  OX ,"[[0, 0, 0], [0, 0, 0], [2, 1, 0]]","[[0, 0, 0], [1, 0, 0], [2, 1, 0]]"
  O OX  X,7,  O OXX X,"[[0, 0, 2], [0, 2, 1], [0, 0, 1]]","[[0, 0, 2], [0, 2, 1], [1, 0, 1]]"
 XX O OX ,1,OXX O OX ,"[[0, 1, 1], [0, 2, 0], [2, 1, 0]]","[[2, 1, 1], [0, 2, 0], [2, 1, 0]]"
X   X  O ,7,X   X OO ,"[[1, 0, 0], [0, 1, 0], [0, 2, 0]]","[[1, 0, 0], [0, 1, 0], [2, 2, 0]]"
X   XO O ,7,X   XOXO ,"[[1, 0, 0], [0, 1, 2], [0, 2, 0]]","[[1, 0, 0], [0, 1, 2], [1, 2, 0]]"
 O  X    ,4, O XX    ,"[[0, 2, 0], [0, 1, 0], [0, 0, 0]]","[[0, 2, 0], [1, 1, 0], [0, 0, 0]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 XOX OX  ,9, XOX OX O,"[[0, 1, 2], [1, 0, 2], [1, 0, 0]]","[[0, 1, 2], [1, 0, 2], [1, 0, 2]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
OX    X  ,8,OX    XO ,"[[2, 1, 0], [0, 0, 0], [1, 0, 0]]","[[2, 1, 0], [0, 0, 0], [1, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
  O X XOX,1,O O X XOX,"[[0, 0, 2], [0, 1, 0], [1, 2, 1]]","[[2, 0, 2], [0, 1, 0], [1, 2, 1]]"
OOXXOXOX ,9,OOXXOXOXX,"[[2, 2, 1], [1, 2, 1], [2, 1, 0]]","[[2, 2, 1], [1, 2, 1], [2, 1, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
OXO   X  ,8,OXO   XX ,"[[2, 1, 2], [0, 0, 0], [1, 0, 0]]","[[2, 1, 2], [0, 0, 0], [1, 1, 0]]"
XXOOXOXO ,9,XXOOXOXOX,"[[1, 1, 2], [2, 1, 2], [1, 2, 0]]","[[1, 1, 2], [2, 1, 2], [1, 2, 1]]"
OX O  XXO,5,OX OX XXO,"[[2, 1, 0], [2, 0, 0], [1, 1, 2]]","[[2, 1, 0], [2, 1, 0], [1, 1, 2]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
 XO O   X,7, XO O X X,"[[0, 1, 2], [0, 2, 0], [0, 0, 1]]","[[0, 1, 2], [0, 2, 0], [1, 0, 1]]"
  X   O X,1,O X   O X,"[[0, 0, 1], [0, 0, 0], [2, 0, 1]]","[[2, 0, 1], [0, 0, 0], [2, 0, 1]]"
   XX O  ,6,   XXOO  ,"[[0, 0, 0], [1, 1, 0], [2, 0, 0]]","[[0, 0, 0], [1, 1, 2], [2, 0, 0]]"
O OX    X,2,OXOX    X,"[[2, 0, 2], [1, 0, 0], [0, 0, 1]]","[[2, 1, 2], [1, 0, 0], [0, 0, 1]]"
     X   ,4,   O X   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [2, 0, 1], [0, 0, 0]]"
 X  O    ,3, XX O    ,"[[0, 1, 0], [0, 2, 0], [0, 0, 0]]","[[0, 1, 1], [0, 2, 0], [0, 0, 0]]"
OXOXX XOO,6,OXOXXXXOO,"[[2, 1, 2], [1, 1, 0], [1, 2, 2]]","[[2, 1, 2], [1, 1, 1], [1, 2, 2]]"
 X      O,3, XX     O,"[[0, 1, 0], [0, 0, 0], [0, 0, 2]]","[[0, 1, 1], [0, 0, 0], [0, 0, 2]]"
O   O XX ,9,O   O XXX,"[[2, 0, 0], [0, 2, 0], [1, 1, 0]]","[[2, 0, 0], [0, 2, 0], [1, 1, 1]]"
OXXXX  OO,7,OXXXX OOO,"[[2, 1, 1], [1, 1, 0], [0, 2, 2]]","[[2, 1, 1], [1, 1, 0], [2, 2, 2]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
  X  O   ,5,  X XO   ,"[[0, 0, 1], [0, 0, 2], [0, 0, 0]]","[[0, 0, 1], [0, 1, 2], [0, 0, 0]]"
       X ,9,       XO,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 2]]"
XOXOXO X ,9,XOXOXO XO,"[[1, 2, 1], [2, 1, 2], [0, 1, 0]]","[[1, 2, 1], [2, 1, 2], [0, 1, 2]]"
X    OO X,3,X X  OO X,"[[1, 0, 0], [0, 0, 2], [2, 0, 1]]","[[1, 0, 1], [0, 0, 2], [2, 0, 1]]"
 OXX OXXO,1,OOXX OXXO,"[[0, 2, 1], [1, 0, 2], [1, 1, 2]]","[[2, 2, 1], [1, 0, 2], [1, 1, 2]]"
 XO      ,5, XO X    ,"[[0, 1, 2], [0, 0, 0], [0, 0, 0]]","[[0, 1, 2], [0, 1, 0], [0, 0, 0]]"
  X  X O ,9,  X  X OO,"[[0, 0, 1], [0, 0, 1], [0, 2, 0]]","[[0, 0, 1], [0, 0, 1], [0, 2, 2]]"
 XO OO XX,7, XO OOXXX,"[[0, 1, 2], [0, 2, 2], [0, 1, 1]]","[[0, 1, 2], [0, 2, 2], [1, 1, 1]]"
O O XO XX,2,OXO XO XX,"[[2, 0, 2], [0, 1, 2], [0, 1, 1]]","[[2, 1, 2], [0, 1, 2], [0, 1, 1]]"
  O X X  ,9,  O X X O,"[[0, 0, 2], [0, 1, 0], [1, 0, 0]]","[[0, 0, 2], [0, 1, 0], [1, 0, 2]]"
  X O  X ,7,  X O OX ,"[[0, 0, 1], [0, 2, 0], [0, 1, 0]]","[[0, 0, 1], [0, 2, 0], [2, 1, 0]]"
O XX XOO ,5,O XXXXOO ,"[[2, 0, 1], [1, 0, 1], [2, 2, 0]]","[[2, 0, 1], [1, 1, 1], [2, 2, 0]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
  O  X XO,5,  O XX XO,"[[0, 0, 2], [0, 0, 1], [0, 1, 2]]","[[0, 0, 2], [0, 1, 1], [0, 1, 2]]"
X O  X   ,5,X O OX   ,"[[1, 0, 2], [0, 0, 1], [0, 0, 0]]","[[1, 0, 2], [0, 2, 1], [0, 0, 0]]"
  OXXOX  ,1,O OXXOX  ,"[[0, 0, 2], [1, 1, 2], [1, 0, 0]]","[[2, 0, 2], [1, 1, 2], [1, 0, 0]]"
X     OX ,2,XO    OX ,"[[1, 0, 0], [0, 0, 0], [2, 1, 0]]","[[1, 2, 0], [0, 0, 0], [2, 1, 0]]"
   O  OXX,5,   OX OXX,"[[0, 0, 0], [2, 0, 0], [2, 1, 1]]","[[0, 0, 0], [2, 1, 0], [2, 1, 1]]"
O      X ,7,O     XX ,"[[2, 0, 0], [0, 0, 0], [0, 1, 0]]","[[2, 0, 0], [0, 0, 0], [1, 1, 0]]"
OXXXOX O ,9,OXXXOX OO,"[[2, 1, 1], [1, 2, 1], [0, 2, 0]]","[[2, 1, 1], [1, 2, 1], [0, 2, 2]]"
  XO  X  ,5,  XOO X  ,"[[0, 0, 1], [2, 0, 0], [1, 0, 0]]","[[0, 0, 1], [2, 2, 0], [1, 0, 0]]"
OXOXX OOX,6,OXOXXXOOX,"[[2, 1, 2], [1, 1, 0], [2, 2, 1]]","[[2, 1, 2], [1, 1, 1], [2, 2, 1]]"
XO X  O X,5,XO XO O X,"[[1, 2, 0], [1, 0, 0], [2, 0, 1]]","[[1, 2, 0], [1, 2, 0], [2, 0, 1]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
